source_workload,destination_workload,timestamp,total_request,new_request,success_count,error_count,success_rate,error_rate,average_latency,istio_request_bytes,throughput,request_rate,time_window,link_color,Abnormality class
checkoutservice,cartservice,2025-03-10 16:09:15,292956.0,28.0,28.0,0.0,1.0,0.0,4.371428571425246,4190.0,279.3333333333333,1.8666666666666667,15S,green,Normal
checkoutservice,cartservice,2025-03-10 16:09:30,292990.0,34.0,34.0,0.0,1.0,0.0,3.985294117647059,4430.0,295.3333333333333,2.2666666666666666,15S,green,Normal
checkoutservice,cartservice,2025-03-10 16:09:45,293024.0,34.0,34.0,0.0,1.0,0.0,4.669117647058823,5065.0,337.6666666666667,2.2666666666666666,15S,green,Normal
checkoutservice,cartservice,2025-03-10 16:10:00,293061.0,37.0,37.0,0.0,1.0,0.0,4.59054054054935,5305.0,353.6666666666667,2.466666666666667,15S,green,Normal
checkoutservice,cartservice,2025-03-10 16:10:15,293096.0,35.0,35.0,0.0,1.0,0.0,25.67714285712157,5065.0,337.6666666666667,2.333333333333333,15S,green,Normal
checkoutservice,cartservice,2025-03-10 16:10:30,293150.0,54.0,54.0,0.0,1.0,0.0,4.021296296307507,6055.0,403.6666666666667,3.6,15S,green,Normal
checkoutservice,cartservice,2025-03-10 16:10:45,293186.0,36.0,36.0,0.0,1.0,0.0,4.859722222207994,5565.0,371.0,2.4,15S,green,Normal
checkoutservice,cartservice,2025-03-10 16:11:00,293245.0,59.0,59.0,0.0,1.0,0.0,5.558474576274343,9245.0,616.3333333333334,3.933333333333333,15S,green,Normal
checkoutservice,cartservice,2025-03-10 16:11:15,293296.0,51.0,51.0,0.0,1.0,0.0,13.903921568633844,7430.0,495.3333333333333,3.4,15S,green,Normal
checkoutservice,cartservice,2025-03-10 16:11:30,293333.0,37.0,37.0,0.0,1.0,0.0,5.514864864859831,5815.0,387.6666666666667,2.466666666666667,15S,green,Normal
checkoutservice,cartservice,2025-03-10 16:11:45,293403.0,70.0,70.0,0.0,1.0,0.0,3.7307142857162816,8120.0,541.3333333333334,4.666666666666667,15S,green,Normal
checkoutservice,cartservice,2025-03-10 16:12:00,293447.0,44.0,44.0,0.0,1.0,0.0,57.75795454546196,7440.0,496.0,2.933333333333333,15S,green,Normal
checkoutservice,cartservice,2025-03-10 16:12:15,293491.0,44.0,44.0,0.0,1.0,0.0,46.23636363635094,7870.0,524.6666666666666,2.933333333333333,15S,green,Normal
checkoutservice,cartservice,2025-03-10 16:12:30,293517.0,26.0,26.0,0.0,1.0,0.0,5.673076923085878,3750.0,250.0,1.7333333333333334,15S,green,Normal
checkoutservice,cartservice,2025-03-10 16:12:45,293529.0,12.0,12.0,0.0,1.0,0.0,3.283333333286768,1680.0,112.0,0.8,15S,green,Normal
checkoutservice,cartservice,2025-03-10 16:13:00,293543.0,14.0,14.0,0.0,1.0,0.0,4.8357142857442215,1750.0,116.66666666666669,0.9333333333333332,15S,green,Normal
checkoutservice,cartservice,2025-03-10 16:13:15,293558.0,15.0,15.0,0.0,1.0,0.0,3.439999999990687,1500.0,100.0,1.0,15S,green,Normal
checkoutservice,cartservice,2025-03-10 16:13:30,293577.0,19.0,19.0,0.0,1.0,0.0,6.010526315799277,3690.0,246.0,1.2666666666666666,15S,green,Normal
checkoutservice,cartservice,2025-03-10 16:13:45,293599.0,22.0,22.0,0.0,1.0,0.0,3.263636363627897,2000.0,133.33333333333334,1.4666666666666666,15S,green,Normal
checkoutservice,cartservice,2025-03-10 16:14:00,293634.0,35.0,35.0,0.0,1.0,0.0,4.1614285714325625,4805.0,320.3333333333333,2.333333333333333,15S,green,Normal
checkoutservice,cartservice,2025-03-10 16:14:15,293664.0,30.0,30.0,0.0,1.0,0.0,4.768333333334885,4680.0,312.0,2.0,15S,green,Normal
checkoutservice,cartservice,2025-03-10 16:14:30,293692.0,28.0,28.0,0.0,1.0,0.0,5.846428571426908,4940.0,329.3333333333333,1.8666666666666667,15S,green,Normal
