source_workload,destination_workload,timestamp,total_request,new_request,success_count,error_count,success_rate,error_rate,average_latency,istio_request_bytes,throughput,request_rate,p50_latency,p90_latency,p95_latency,p99_latency,time_window
checkoutservice,cartservice,2025-03-10 16:09:00,"[292956.0, 292990.0, 293024.0]","[28.0, 34.0, 34.0]","[28.0, 34.0, 34.0]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]","[4.371428571425246, 3.985294117647059, 4.669117647058823]","[4190.0, 4430.0, 5065.0]","[279.3333333333333, 295.3333333333333, 337.6666666666667]","[1.8666666666666667, 2.2666666666666666, 2.2666666666666666]",4.371428571425246,4.669117647058823,4.669117647058823,4.669117647058823,15S
checkoutservice,cartservice,2025-03-10 16:10:00,"[293061.0, 293096.0, 293150.0, 293186.0]","[37.0, 35.0, 54.0, 36.0]","[37.0, 35.0, 54.0, 36.0]","[0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0]","[4.59054054054935, 25.67714285712157, 4.021296296307507, 4.859722222207994]","[5305.0, 5065.0, 6055.0, 5565.0]","[353.6666666666667, 337.6666666666667, 403.6666666666667, 371.0]","[2.466666666666667, 2.333333333333333, 3.6, 2.4]",4.59054054054935,25.67714285712157,25.67714285712157,25.67714285712157,15S
checkoutservice,cartservice,2025-03-10 16:11:00,"[293245.0, 293296.0, 293333.0, 293403.0]","[59.0, 51.0, 37.0, 70.0]","[59.0, 51.0, 37.0, 70.0]","[0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0]","[5.558474576274343, 13.903921568633844, 5.514864864859831, 3.7307142857162816]","[9245.0, 7430.0, 5815.0, 8120.0]","[616.3333333333334, 495.3333333333333, 387.6666666666667, 541.3333333333334]","[3.933333333333333, 3.4, 2.466666666666667, 4.666666666666667]",5.558474576274343,13.903921568633844,13.903921568633844,13.903921568633844,15S
checkoutservice,cartservice,2025-03-10 16:12:00,"[293447.0, 293491.0, 293517.0, 293529.0]","[44.0, 44.0, 26.0, 12.0]","[44.0, 44.0, 26.0, 12.0]","[0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0]","[57.75795454546196, 46.23636363635094, 5.673076923085878, 3.283333333286768]","[7440.0, 7870.0, 3750.0, 1680.0]","[496.0, 524.6666666666666, 250.0, 112.0]","[2.933333333333333, 2.933333333333333, 1.7333333333333334, 0.8]",46.23636363635094,57.75795454546196,57.75795454546196,57.75795454546196,15S
checkoutservice,cartservice,2025-03-10 16:13:00,"[293543.0, 293558.0, 293577.0, 293599.0]","[14.0, 15.0, 19.0, 22.0]","[14.0, 15.0, 19.0, 22.0]","[0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0]","[4.8357142857442215, 3.439999999990687, 6.010526315799277, 3.263636363627897]","[1750.0, 1500.0, 3690.0, 2000.0]","[116.66666666666669, 100.0, 246.0, 133.33333333333334]","[0.9333333333333332, 1.0, 1.2666666666666666, 1.4666666666666666]",3.439999999990687,6.010526315799277,6.010526315799277,6.010526315799277,15S
checkoutservice,cartservice,2025-03-10 16:14:00,"[293634.0, 293664.0, 293692.0, 293736.0]","[35.0, 30.0, 28.0, 44.0]","[35.0, 30.0, 28.0, 44.0]","[0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0]","[4.1614285714325625, 4.768333333334885, 5.846428571426908, 3.542045454547571]","[4805.0, 4680.0, 4940.0, 5315.0]","[320.3333333333333, 312.0, 329.3333333333333, 354.3333333333333]","[2.333333333333333, 2.0, 1.8666666666666667, 2.933333333333333]",4.1614285714325625,5.846428571426908,5.846428571426908,5.846428571426908,15S
checkoutservice,cartservice,2025-03-10 16:15:00,"[293773.0, 293806.0, 293858.0, 293909.0]","[37.0, 33.0, 52.0, 51.0]","[37.0, 33.0, 52.0, 51.0]","[0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0]","[3.8256756756706416, 95.52727272726284, 5.053846153851527, 5.338235294122212]","[4565.0, 4690.0, 7680.0, 8380.0]","[304.3333333333333, 312.6666666666667, 512.0, 558.6666666666666]","[2.466666666666667, 2.2, 3.466666666666667, 3.4]",5.053846153851527,95.52727272726284,95.52727272726284,95.52727272726284,15S
checkoutservice,cartservice,2025-03-10 16:16:00,"[293937.0, 293975.0, 294025.0, 294070.0]","[28.0, 38.0, 50.0, 45.0]","[28.0, 38.0, 50.0, 45.0]","[0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0]","[78.57142857143688, 60.08815789472092, 3.423000000002794, 81.29111111110801]","[3125.0, 6610.0, 4940.0, 6805.0]","[208.33333333333331, 440.6666666666667, 329.3333333333333, 453.6666666666667]","[1.8666666666666667, 2.533333333333333, 3.333333333333333, 3.0]",60.08815789472092,81.29111111110801,81.29111111110801,81.29111111110801,15S
checkoutservice,cartservice,2025-03-10 16:17:00,"[294116.0, 294175.0, 294191.0, 294195.0]","[46.0, 59.0, 16.0, 4.0]","[46.0, 59.0, 16.0, 4.0]","[0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0]","[44.49021739131042, 4.77542372881356, 7.446875000008731, 6.8250000000116415]","[7815.0, 8495.0, 3555.0, 750.0]","[521.0, 566.3333333333334, 237.0, 50.0]","[3.066666666666667, 3.933333333333333, 1.0666666666666669, 0.2666666666666666]",6.8250000000116415,44.49021739131042,44.49021739131042,44.49021739131042,15S
checkoutservice,cartservice,2025-03-10 16:18:00,[294201.0],[6.0],[6.0],[0.0],[1.0],[0.0],[2.866666666658906],[500.0],[33.333333333333336],[0.4],2.866666666658906,2.866666666658906,2.866666666658906,2.866666666658906,15S
